Symbol,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
BTCUSDT,2018-05-02,9071.48000000,9268.00000000,8970.20000000,9247.84000000,26123.54396100,2018-05-02 23:59:59.999,238421833.75811328,188258,13960.45552800,127439644.78329857,0
BTCUSDT,2018-05-03,9247.81000000,9844.00000000,9168.40000000,9750.00000000,38768.38828800,2018-05-03 23:59:59.999,366028365.22714452,282581,21093.14034300,199234352.40239446,0
BTCUSDT,2018-05-04,9750.00000000,9830.04000000,9520.85000000,9713.99000000,28681.58887900,2018-05-04 23:59:59.999,277565997.63316434,210165,14779.49955400,143070410.02237806,0
BTCUSDT,2018-05-05,9714.00000000,10020.00000000,9682.00000000,9864.00000000,24990.01834500,2018-05-05 23:59:59.999,246807563.50646492,212076,13011.84429300,128527642.99648472,0
BTCUSDT,2018-05-06,9863.99000000,9970.00000000,9417.03000000,9659.01000000,27690.35155900,2018-05-06 23:59:59.999,267359420.30359016,229309,13297.50695900,128427770.52523223,0
BTCUSDT,2018-05-07,9661.02000000,9689.67000000,9181.00000000,9365.00000000,33787.64001200,2018-05-07 23:59:59.999,316015961.44182946,230754,15818.04880000,147985335.44588440,0
BTCUSDT,2018-05-08,9365.00000000,9475.70000000,9060.54000000,9187.56000000,25533.83188900,2018-05-08 23:59:59.999,236418155.68693511,189159,13086.54746700,121220083.42296955,0
BTCUSDT,2018-05-09,9178.00000000,9390.00000000,8965.00000000,9310.00000000,25673.52489900,2018-05-09 23:59:59.999,235736782.28825977,192337,13597.26815900,124869560.73820229,0
BTCUSDT,2018-05-10,9310.00000000,9395.12000000,8970.00000000,9002.20000000,25055.06371800,2018-05-10 23:59:59.999,231595002.59561663,221075,12548.13816000,116002381.57104651,0
BTCUSDT,2018-05-11,9002.21000000,9016.80000000,8341.00000000,8400.00000000,48227.04806100,2018-05-11 23:59:59.999,418859806.48161559,365538,22767.45866700,197915875.74598894,0
BTCUSDT,2018-05-12,8405.94000000,8646.88000000,8153.00000000,8465.94000000,40241.32081000,2018-05-12 23:59:59.999,337899865.86013073,310305,19545.97419500,164142437.41951769,0
BTCUSDT,2018-05-13,8475.44000000,8763.36000000,8298.00000000,8679.71000000,25632.86936200,2018-05-13 23:59:59.999,219455683.08035551,215590,12797.04791200,109577063.57159920,0
BTCUSDT,2018-05-14,8679.71000000,8879.99000000,8277.00000000,8663.34000000,37389.66653300,2018-05-14 23:59:59.999,320583612.23009106,292731,18408.05564100,157869523.76782728,0
BTCUSDT,2018-05-15,8663.37000000,8859.99000000,8401.30000000,8462.00000000,28126.95613600,2018-05-15 23:59:59.999,242341031.06166916,360379,13977.49764700,120464422.62431279,0
BTCUSDT,2018-05-16,8462.00000000,8488.00000000,8083.01000000,8330.00000000,31130.71890800,2018-05-16 23:59:59.999,257056552.43007563,300842,15627.10136800,129113378.77513841,0
BTCUSDT,2018-05-17,8330.00000000,8464.00000000,7979.00000000,8041.46000000,25439.84479900,2018-05-17 23:59:59.999,209489039.34104191,310780,12489.26449900,103022237.77329309,0
BTCUSDT,2018-05-18,8038.82000000,8273.21000000,7911.90000000,8239.81000000,23476.15825100,2018-05-18 23:59:59.999,189870380.85778694,183913,12352.96270000,99971085.72894707,0
BTCUSDT,2018-05-19,8238.01000000,8390.80000000,8095.73000000,8233.49000000,17193.42427600,2018-05-19 23:59:59.999,141878775.40909583,134185,8731.94855100,72082928.16544356,0
BTCUSDT,2018-05-20,8233.49000000,8609.00000000,8163.90000000,8526.98000000,19957.05710900,2018-05-20 23:59:59.999,167440553.74939281,161265,10632.45095500,89177519.97189688,0
