Open time,Symbol,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
2018-05-02,ETHUSDT,671.99,691.99,663.0,688.56,86185.5033,2018-05-02 23:59:59.999,58547697.5057035,97534,47460.1733,32261968.3936199
2018-05-03,ETHUSDT,688.55,792.08,685.39,779.0,229419.209,2018-05-03 23:59:59.999,169982888.3383364,210459,118584.02308,87775109.7736009
2018-05-04,ETHUSDT,779.0,810.0,756.91,785.99,179924.40215,2018-05-04 23:59:59.999,141283262.9241322,161690,90632.87892,71235800.1478963
2018-05-05,ETHUSDT,785.8,832.66,781.56,819.5,128631.18764,2018-05-05 23:59:59.999,104594301.6093639,121136,68646.32685,55817590.007575
2018-05-06,ETHUSDT,819.5,839.99,752.49,794.3,166871.16002,2018-05-06 23:59:59.999,132187629.450689,154829,83663.13801,66427974.4234199
2018-05-07,ETHUSDT,794.3,799.14,701.0,752.49,284237.06328,2018-05-07 23:59:59.999,210066185.28612956,232411,128638.27791,95026417.2870986
2018-05-08,ETHUSDT,753.0,777.0,720.02,748.99,135106.19621,2018-05-08 23:59:59.999,101156197.2573318,126971,65785.64028,49239934.894471
2018-05-09,ETHUSDT,748.99,760.74,710.26,751.75,112353.37758,2018-05-09 23:59:59.999,82933836.454514,104593,56905.42297,42032849.917335
2018-05-10,ETHUSDT,752.4,769.88,720.0,722.52,102019.29933,2018-05-10 23:59:59.999,76658823.4630308,99850,51561.01377,38797465.5744748
2018-05-11,ETHUSDT,722.52,737.23,663.0,676.96,216953.54991,2018-05-11 23:59:59.999,150336847.8280685,192008,101003.74344,69952774.7120749
2018-05-12,ETHUSDT,676.96,690.2,633.2,684.11,166801.07487,2018-05-12 23:59:59.999,111101666.3239263,159177,78843.94356,52499825.0038048
2018-05-13,ETHUSDT,684.56,742.0,666.31,729.08,136022.39207,2018-05-13 23:59:59.999,96516164.9841859,116733,70003.23059,49661581.1995488
2018-05-14,ETHUSDT,729.08,743.9,686.0,727.49,183466.9224,2018-05-14 23:59:59.999,131397089.1149141,152787,89358.81076,64060315.6222562
2018-05-15,ETHUSDT,727.49,740.0,695.0,704.91,127191.21863,2018-05-15 23:59:59.999,91869541.8424722,115906,65194.99165,47126392.0628973
2018-05-16,ETHUSDT,704.91,712.84,673.52,706.29,118902.46895,2018-05-16 23:59:59.999,82315246.5132033,121956,59502.98405,41222835.6042182
2018-05-17,ETHUSDT,706.8,719.25,662.0,667.62,106723.38375,2018-05-17 23:59:59.999,74320001.2537688,109610,51643.55118,35999130.5530208
2018-05-18,ETHUSDT,667.62,694.9,656.0,692.6,106541.66307,2018-05-18 23:59:59.999,72118376.5238014,114419,54699.90084,37057267.6212127
2018-05-19,ETHUSDT,693.26,717.8,682.31,697.0,88828.85641,2018-05-19 23:59:59.999,62026599.8097705,99860,45052.07989,31452211.2151965
2018-05-20,ETHUSDT,697.0,729.88,688.4,716.16,86004.7409,2018-05-20 23:59:59.999,61227466.2924883,91685,43571.09472,31042626.1070053
2018-05-21,ETHUSDT,716.16,720.46,688.0,696.7,96085.15451,2018-05-21 23:59:59.999,67799023.5499843,89438,43697.4856,30857840.2883645
2018-05-22,ETHUSDT,697.1,699.6,637.32,640.99,107059.5769,2018-05-22 23:59:59.999,72112726.836348,110915,50607.50277,34122130.8763641
2018-05-23,ETHUSDT,640.86,669.0,560.0,577.19,257099.77096,2018-05-23 23:59:59.999,155638543.7608657,203100,120864.87161,73183522.6347508
2018-05-24,ETHUSDT,577.19,612.1,550.0,602.18,195854.62497,2018-05-24 23:59:59.999,114324332.2609641,159755,97510.70429,56938498.134647
2018-05-25,ETHUSDT,602.08,617.46,568.7,585.55,118076.26273,2018-05-25 23:59:59.999,70118224.9343135,115243,58137.51406,34559969.4027094
2018-05-26,ETHUSDT,585.56,607.62,578.32,586.0,77654.12532,2018-05-26 23:59:59.999,46205282.6853549,76446,39888.62561,23724451.1905669
2018-05-27,ETHUSDT,586.03,592.0,557.43,570.4,97097.26713,2018-05-27 23:59:59.999,55737244.5191023,90855,49860.49139,28594913.180964
2018-05-28,ETHUSDT,570.81,576.2,506.11,511.5,153197.83278,2018-05-28 23:59:59.999,81950608.3901462,136137,72896.6593,38990869.402027
2018-05-29,ETHUSDT,511.5,573.43,510.0,567.36,189082.83788,2018-05-29 23:59:59.999,103113233.70003,128067,98238.0377,53465712.4035753
2018-05-30,ETHUSDT,567.09,585.83,541.2,557.19,122132.2701,2018-05-30 23:59:59.999,68698935.1823503,94311,62301.91063,35039310.0785943
2018-05-31,ETHUSDT,557.87,586.73,552.98,577.81,100101.52276,2018-05-31 23:59:59.999,57312700.8700542,88463,52802.56771,30225262.6202169
2018-06-01,ETHUSDT,577.81,590.26,564.93,579.0,83840.84162,2018-06-01 23:59:59.999,48334174.7645864,85475,43154.5206,24878100.1634854
2018-06-02,ETHUSDT,579.0,599.17,572.9,590.85,80258.14719,2018-06-02 23:59:59.999,47346968.1318188,81067,34652.44538,20427136.5353649
2018-06-03,ETHUSDT,590.85,628.81,590.1,619.66,84123.33235,2018-06-03 23:59:59.999,51660963.9070336,83803,40226.93765,24693632.8654554
2018-06-04,ETHUSDT,619.66,625.47,580.15,591.02,96339.44507,2018-06-04 23:59:59.999,57791317.7268969,86009,49160.85834,29506398.8343072
2018-06-05,ETHUSDT,591.02,614.0,570.36,609.05,89053.74351,2018-06-05 23:59:59.999,52918830.2092289,86957,44401.6694,26411381.7894578
2018-06-06,ETHUSDT,609.29,613.35,593.4,607.4,70152.92117,2018-06-06 23:59:59.999,42406036.3359788,71275,32056.28186,19383741.3455691
2018-06-07,ETHUSDT,606.68,618.0,598.24,605.16,60174.1888,2018-06-07 23:59:59.999,36622061.3957984,61247,26952.13447,16412936.1675669
2018-06-08,ETHUSDT,605.2,608.45,593.33,598.68,49228.00755,2018-06-08 23:59:59.999,29570758.3831474,49881,23316.17774,14007954.6950065
2018-06-09,ETHUSDT,599.29,608.97,591.0,592.87,38908.0653,2018-06-09 23:59:59.999,23425391.9800099,40208,19934.76281,12016285.1776016
2018-06-10,ETHUSDT,592.44,592.87,501.13,524.11,190350.58429,2018-06-10 23:59:59.999,103749727.2406178,145196,93837.46324,51219191.4968823
2018-06-11,ETHUSDT,524.64,535.51,508.66,531.69,145813.07819,2018-06-11 23:59:59.999,76462994.8697018,117598,77140.98055,40457311.091889
2018-06-12,ETHUSDT,531.08,538.88,482.0,493.0,158223.14812,2018-06-12 23:59:59.999,81341580.8232696,121424,81506.65862,41980494.2814451
2018-06-13,ETHUSDT,493.0,501.97,449.06,475.47,181842.19417,2018-06-13 23:59:59.999,86416386.6308936,134718,89431.85711,42524293.0062459
2018-06-14,ETHUSDT,475.47,529.0,460.0,519.29,206093.0733,2018-06-14 23:59:59.999,102374389.9984429,156597,102710.51082,50995462.2195122
2018-06-15,ETHUSDT,519.3,521.0,481.62,487.48,160532.53607,2018-06-15 23:59:59.999,80145974.8516328,122246,84537.20797,42225020.2067169
2018-06-16,ETHUSDT,487.47,503.28,483.72,496.74,131095.45173,2018-06-16 23:59:59.999,64919187.0546742,96076,76269.81785,37784360.169511
2018-06-17,ETHUSDT,496.45,507.6,492.7,497.14,117316.93221,2018-06-17 23:59:59.999,58745118.7144018,92111,67766.32893,33934667.2232846
2018-06-18,ETHUSDT,497.15,524.48,487.27,517.95,143826.68272,2018-06-18 23:59:59.999,72402471.3508738,119818,82746.7212,41657563.3596715
2018-06-19,ETHUSDT,517.77,548.2,510.01,537.97,148148.38064,2018-06-19 23:59:59.999,78382588.5359899,130777,81412.28126,43070607.6319913
